Dolphin.ID,time,event,Sex
494,13.08418891,0,Female
495,13.08692676,0,Male
496,13.16632444,0,Female
497,13.16632444,0,Female
498,13.16632444,0,Female
499,13.16632444,0,Female
500,13.16632444,0,Male
501,13.16632444,0,Unknown
502,13.29226557,1,Male
503,13.41546886,1,Female
504,13.49486653,1,Male
505,13.49486653,1,Female
506,13.49486653,1,Female
507,14.05886379,0,Female
508,14.11362081,0,Male
509,14.16563997,0,Male
510,14.16563997,0,Male
511,14.16563997,0,Male
512,14.16563997,0,Female
513,14.29158111,1,Male
514,14.49418207,1,Female
515,14.49418207,1,Female
516,14.49418207,1,Female
517,14.49691992,1,Male
518,14.49691992,1,Female
519,14.49691992,1,Male
520,14.49691992,1,Male
521,14.49691992,1,Male
522,14.49691992,1,Unknown
523,14.49691992,1,Male
524,14.49691992,1,Female
525,14.66940452,0,Male
526,14.9596167,0,Female
527,15.16495551,0,Unknown
528,15.19780972,0,Male
529,15.49623546,1,Male
530,15.49623546,1,Male
531,15.49623546,1,Female
532,15.49623546,1,Unknown
533,15.49623546,1,Female
534,15.49623546,1,Male
535,15.49623546,1,Male
536,15.58932238,1,Female
537,15.65229295,0,Male
538,16,0,Female
539,16.11772758,0,Female
540,16.12867899,0,Male
541,16.1670089,0,Male
542,16.1670089,0,Male
543,16.1670089,0,Female
544,16.1670089,0,Male
545,16.49555099,1,Unknown
546,16.49555099,1,Unknown
547,16.49555099,1,Unknown
548,16.49555099,1,Female
549,16.49555099,1,Female
550,16.49555099,1,Male
551,16.49555099,1,Male
552,16.49828884,1,Male
553,16.49828884,1,Male
554,16.49828884,1,Female
555,16.87611225,0,Male
556,16.94455852,0,Male
557,16.99931554,0,Male
558,16.99931554,1,Female
559,17.16632444,0,Female
560,17.16632444,0,Female
561,17.16632444,0,Female
562,17.16632444,0,Female
563,17.16632444,0,Female
564,17.16632444,0,Female
565,17.16632444,0,Male
566,17.25119781,0,Male
567,17.49486653,1,Male
568,17.49486653,1,Male
569,17.49486653,1,Unknown
570,17.49486653,1,Unknown
571,17.49486653,1,Female
572,17.49760438,1,Male
573,17.67008898,0,Female
574,17.87542779,0,Female
575,18.08350445,0,Male
576,18.16563997,0,Female
577,18.16563997,0,Female
578,18.16563997,0,Male
579,18.16563997,0,Female
580,18.16563997,0,Female
581,18.16563997,0,Male
582,18.16563997,0,Female
583,18.16837782,1,Female
584,18.29431896,0,Male
585,18.4257358,1,Female
586,18.49418207,1,Male
587,18.49418207,1,Female
588,18.49418207,1,Unknown
589,18.49691992,1,Unknown
590,18.49691992,1,Female
591,18.49691992,1,Female
592,18.49691992,1,Unknown
593,18.49691992,1,Male
594,18.49691992,1,Male
595,18.49691992,1,Female
596,18.49691992,1,Male
597,18.49691992,1,Male
598,18.49691992,1,Female
599,18.49691992,1,Female
600,18.49691992,1,Female
601,19.16495551,0,Male
602,19.16495551,0,Female
603,19.16495551,0,Female
604,19.16495551,0,Male
605,19.16495551,0,Female
606,19.16495551,0,Male
607,19.16495551,0,Female
608,19.16495551,0,Female
609,19.16495551,0,Female
610,19.16495551,0,Female
611,19.16495551,0,Unknown
612,19.16495551,0,Female
613,19.49623546,1,Female
614,19.49623546,1,Male
615,19.49623546,1,Female
616,19.49623546,1,Female
617,19.49623546,1,Male
618,19.49623546,1,Female
619,19.49623546,1,Male
620,19.53456537,1,Female
621,19.66872005,0,Female
622,20.08487337,0,Male
623,20.1670089,0,Female
624,20.1670089,0,Male
625,20.1670089,0,Female
626,20.1670089,0,Female
627,20.1670089,0,Male
628,20.1670089,0,Male
629,20.1670089,0,Female
630,20.21355236,0,Female
631,20.49555099,1,Female
632,20.49555099,1,Male
633,20.49555099,1,Male
634,20.49555099,1,Female
635,20.49828884,1,Male
636,20.49828884,1,Male
637,20.49828884,1,Female
638,20.49828884,1,Male
639,20.58042437,1,Female
640,20.61875428,1,Female
641,20.62696783,0,Female
642,20.99931554,0,Female
643,21.045859,0,Male
644,21.13073238,0,Male
645,21.16632444,0,Male
646,21.16632444,0,Female
647,21.16632444,0,Female
648,21.16632444,0,Female
649,21.16632444,0,Male
650,21.16632444,0,Female
651,21.16632444,0,Unknown
652,21.2019165,0,Female
653,21.49486653,1,Female
654,21.49486653,1,Female
655,21.49486653,1,Male
656,21.49486653,1,Unknown
657,21.49486653,1,Male
658,21.49486653,1,Male
659,21.49486653,1,Male
660,21.49760438,1,Male
661,21.49760438,1,Female
662,21.49760438,1,Male
663,21.49760438,1,Unknown
664,21.9137577,0,Female
665,21.96030116,0,Male
666,22.05065024,0,Female
667,22.16563997,0,Male
668,22.16563997,0,Female
669,22.16563997,0,Female
670,22.16563997,0,Male
671,22.16563997,0,Male
672,22.16563997,0,Male
673,22.16563997,0,Male
674,22.16563997,0,Female
675,22.16563997,0,Female
676,22.21218344,0,Female
677,22.23134839,0,Female
678,22.29431896,0,Male
679,22.49418207,1,Male
680,22.49691992,1,Female
681,22.49691992,1,Female
682,22.49691992,1,Female
683,22.49691992,1,Female
684,22.49691992,1,Unknown
685,22.49691992,1,Female
686,22.49691992,1,Female
687,22.49691992,1,Male
688,22.49691992,1,Male
689,22.73511294,1,Female
690,23.00068446,0,Male
691,23.05270363,0,Female
692,23.16495551,0,Male
693,23.16495551,0,Female
694,23.16495551,0,Male
695,23.16495551,0,Female
696,23.16495551,0,Male
697,23.16495551,0,Female
698,23.20328542,0,Male
699,23.24982888,0,Male
700,23.49623546,1,Male
701,23.49623546,1,Male
702,23.49623546,1,Female
703,23.49623546,1,Female
704,23.49623546,1,Male
705,23.49623546,1,Unknown
706,23.49623546,1,Unknown
707,23.49623546,1,Female
708,23.49623546,1,Female
709,23.75359343,1,Female
710,24,1,Female
711,24.1670089,0,Male
712,24.1670089,0,Male
713,24.1670089,0,Male
714,24.1670089,0,Male
715,24.1670089,0,Female
716,24.1670089,0,Female
717,24.1670089,0,Female
718,24.49555099,1,Female
719,24.49555099,1,Male
720,24.49555099,1,Unknown
721,24.49555099,1,Male
722,24.67077344,0,Male
723,24.67077344,0,Male
724,24.6899384,1,Female
725,24.72553046,1,Female
726,25.16632444,0,Female
727,25.16632444,0,Male
728,25.16632444,0,Male
729,25.16632444,0,Female
730,25.16632444,0,Male
731,25.16632444,0,Female
732,25.16632444,0,Female
733,25.49486653,1,Male
734,25.49486653,1,Male
735,25.49486653,1,Male
736,25.49486653,1,Female
737,25.49760438,1,Unknown
738,25.49760438,1,Male
739,25.62628337,1,Female
740,26.02600958,0,Female
741,26.08350445,0,Female
742,26.16563997,0,Unknown
743,26.16563997,0,Female
744,26.16563997,0,Male
745,26.16563997,0,Male
746,26.16563997,0,Female
747,26.49418207,1,Male
748,26.49418207,1,Male
749,26.49418207,1,Female
750,26.49418207,1,Male
751,26.49691992,1,Male
752,26.49691992,1,Female
753,26.49691992,1,Male
754,26.49691992,1,Male
755,26.49691992,1,Male
756,27.06913073,0,Female
757,27.16495551,0,Male
758,27.16495551,0,Female
759,27.16495551,0,Female
760,27.16495551,0,Female
761,27.49623546,1,Male
762,27.49623546,1,Male
763,27.49623546,1,Female
764,27.49623546,1,Female
765,27.49623546,1,Female
766,27.49623546,1,Female
767,27.49623546,1,Male
768,27.49623546,1,Male
769,27.49623546,1,Female
770,27.66324435,1,Female
771,28,1,Male
772,28,0,Female
773,28.1670089,0,Male
774,28.1670089,0,Male
775,28.1670089,0,Male
776,28.1670089,0,Female
777,28.1670089,0,Female
778,28.22724162,0,Male
779,28.25735797,0,Female
780,28.49555099,1,Female
781,28.49555099,1,Male
782,28.49555099,1,Female
783,28.49555099,1,Female
784,28.49555099,1,Male
785,28.49555099,1,Male
786,28.49828884,1,Male
787,28.49828884,1,Male
788,28.99931554,1,Male
789,29.16632444,0,Female
790,29.16632444,0,Female
791,29.25119781,1,Female
792,29.25119781,0,Male
793,29.49486653,1,Male
794,29.49486653,1,Unknown
795,29.49486653,1,Female
796,29.49486653,1,Male
797,29.49486653,1,Female
798,29.49760438,1,Female
799,29.49760438,1,Male
800,29.49760438,1,Male
801,29.49760438,1,Female
802,29.54140999,1,Male
803,29.83162218,1,Female
804,29.99863107,1,Female
805,30.16563997,0,Male
806,30.16563997,0,Female
807,30.16563997,0,Male
808,30.16563997,0,Male
809,30.16563997,0,Female
810,30.16563997,0,Male
811,30.16563997,0,Male
812,30.16563997,0,Male
813,30.16563997,0,Female
814,30.16563997,0,Male
815,30.16563997,0,Female
816,30.4202601,1,Female
817,30.49418207,1,Female
818,30.49418207,1,Male
819,30.49418207,1,Male
820,30.49691992,1,Male
821,30.49691992,1,Male
822,30.49691992,1,Female
823,30.49691992,1,Unknown
824,30.49691992,1,Male
825,30.49691992,1,Female
826,30.49691992,1,Female
827,30.72689938,1,Male
828,31.00068446,0,Male
829,31.16495551,0,Male
830,31.16495551,0,Male
831,31.16495551,0,Female
832,31.23613963,0,Male
833,31.34839151,1,Female
834,31.45242984,1,Female
835,31.49623546,1,Male
836,31.49623546,1,Female
837,31.49623546,1,Female
838,31.49623546,1,Male
839,31.49623546,1,Female
840,31.51540041,1,Female
841,31.69609856,1,Male
842,31.74811773,1,Male
843,32.1670089,0,Female
844,32.1670089,0,Female
845,32.1670089,0,Male
846,32.1670089,0,Female
847,32.1670089,0,Female
848,32.1670089,0,Male
849,32.1670089,0,Female
850,32.1670089,0,Female
851,32.49555099,1,Female
852,32.49555099,1,Male
853,32.49555099,1,Male
854,32.49555099,1,Female
855,32.49555099,1,Male
856,32.49555099,1,Female
857,32.49555099,1,Male
858,32.49555099,1,Female
859,32.49555099,1,Male
860,32.49555099,1,Female
861,32.49828884,1,Female
862,32.49828884,1,Male
863,32.49828884,1,Male
864,32.73100616,1,Male
865,32.99931554,1,Female
866,32.99931554,1,Female
867,33.16632444,0,Female
868,33.16632444,0,Male
869,33.16632444,0,Male
870,33.16632444,0,Female
